city,year,weekofyear,total_cases
sj,2008,18,13
sj,2008,19,14
sj,2008,20,18
sj,2008,21,15
sj,2008,22,15
sj,2008,23,15
sj,2008,24,18
sj,2008,25,24
sj,2008,26,24
sj,2008,27,23
sj,2008,28,25
sj,2008,29,24
sj,2008,30,21
sj,2008,31,26
sj,2008,32,49
sj,2008,33,42
sj,2008,34,28
sj,2008,35,39
sj,2008,36,63
sj,2008,37,40
sj,2008,38,51
sj,2008,39,32
sj,2008,40,38
sj,2008,41,45
sj,2008,42,42
sj,2008,43,30
sj,2008,44,28
sj,2008,45,36
sj,2008,46,39
sj,2008,47,35
sj,2008,48,36
sj,2008,49,27
sj,2008,50,28
sj,2008,51,36
sj,2008,52,25
sj,2009,1,22
sj,2009,2,11
sj,2009,3,23
sj,2009,4,20
sj,2009,5,26
sj,2009,6,16
sj,2009,7,20
sj,2009,8,16
sj,2009,9,15
sj,2009,10,11
sj,2009,11,7
sj,2009,12,8
sj,2009,13,10
sj,2009,14,10
sj,2009,15,12
sj,2009,16,11
sj,2009,17,16
sj,2009,18,19
sj,2009,19,13
sj,2009,20,15
sj,2009,21,17
sj,2009,22,20
sj,2009,23,19
sj,2009,24,22
sj,2009,25,22
sj,2009,26,24
sj,2009,27,31
sj,2009,28,30
sj,2009,29,27
sj,2009,30,43
sj,2009,31,42
sj,2009,32,31
sj,2009,33,34
sj,2009,34,29
sj,2009,35,36
sj,2009,36,45
sj,2009,37,39
sj,2009,38,30
sj,2009,39,42
sj,2009,40,49
sj,2009,41,43
sj,2009,42,39
sj,2009,43,27
sj,2009,44,40
sj,2009,45,27
sj,2009,46,25
sj,2009,47,35
sj,2009,48,35
sj,2009,49,37
sj,2009,50,37
sj,2009,51,35
sj,2009,52,26
sj,2010,53,27
sj,2010,1,21
sj,2010,2,23
sj,2010,3,20
sj,2010,4,18
sj,2010,5,21
sj,2010,6,16
sj,2010,7,23
sj,2010,8,18
sj,2010,9,21
sj,2010,10,14
sj,2010,11,12
sj,2010,12,16
sj,2010,13,17
sj,2010,14,12
sj,2010,15,16
sj,2010,16,19
sj,2010,17,16
sj,2010,18,21
sj,2010,19,18
sj,2010,20,25
sj,2010,21,25
sj,2010,22,40
sj,2010,23,28
sj,2010,24,38
sj,2010,25,40
sj,2010,26,41
sj,2010,27,42
sj,2010,28,35
sj,2010,29,34
sj,2010,30,33
sj,2010,31,33
sj,2010,32,50
sj,2010,33,49
sj,2010,34,58
sj,2010,35,64
sj,2010,36,54
sj,2010,37,45
sj,2010,38,39
sj,2010,39,37
sj,2010,40,36
sj,2010,41,46
sj,2010,42,35
sj,2010,43,27
sj,2010,44,39
sj,2010,45,38
sj,2010,46,29
sj,2010,47,22
sj,2010,48,24
sj,2010,49,22
sj,2010,50,21
sj,2010,51,24
sj,2011,52,30
sj,2011,1,12
sj,2011,2,21
sj,2011,3,16
sj,2011,4,20
sj,2011,5,21
sj,2011,6,20
sj,2011,7,16
sj,2011,8,16
sj,2011,9,10
sj,2011,10,10
sj,2011,11,7
sj,2011,12,12
sj,2011,13,18
sj,2011,14,22
sj,2011,15,16
sj,2011,16,15
sj,2011,17,9
sj,2011,18,15
sj,2011,19,11
sj,2011,20,22
sj,2011,21,26
sj,2011,22,23
sj,2011,23,21
sj,2011,24,47
sj,2011,25,36
sj,2011,26,32
sj,2011,27,41
sj,2011,28,48
sj,2011,29,42
sj,2011,30,47
sj,2011,31,38
sj,2011,32,60
sj,2011,33,41
sj,2011,34,76
sj,2011,35,31
sj,2011,36,33
sj,2011,37,34
sj,2011,38,31
sj,2011,39,34
sj,2011,40,33
sj,2011,41,38
sj,2011,42,39
sj,2011,43,32
sj,2011,44,41
sj,2011,45,31
sj,2011,46,30
sj,2011,47,43
sj,2011,48,32
sj,2011,49,22
sj,2011,50,39
sj,2011,51,25
sj,2012,52,30
sj,2012,1,22
sj,2012,2,21
sj,2012,3,15
sj,2012,4,23
sj,2012,5,16
sj,2012,6,16
sj,2012,7,16
sj,2012,8,15
sj,2012,9,12
sj,2012,10,17
sj,2012,11,13
sj,2012,12,6
sj,2012,13,14
sj,2012,14,17
sj,2012,15,13
sj,2012,16,17
sj,2012,17,13
